COUNTRY,NAME,acc,max_sectors,mother_acc
IRELAND,REYKJAVIK ACC,BIRDCTA,5,BIRD
BELGIUM,BRUSSELS ACC,EBBUCTA,7,EBBU
GERMANY,KARLSRUHE UAC CENTRAL,EDUUUTAC,11,EDUU
GERMANY,KARLSRUHE UAC EAST,EDUUUTAE,10,EDUU
GERMANY,KARLSRUHE UAC NORTH,EDUUUTAN,6,EDUU
GERMANY,KARLSRUHE UAC SOUTH,EDUUUTAS,6,EDUU
GERMANY,KARLSRUHE UAC WEST,EDUUUTAW,10,EDUU
MAASTRICHT,EDYY BRUSSELS SECTORS,EDYYBUTA,8,EDYY
MAASTRICHT,EDYY DECO SECTORS,EDYYDUTA,9,EDYY
MAASTRICHT,EDYY HANNOVER SECTORS,EDYYHUTA,8,EDYY
Estonia,TALLIN ACC,EETTCTA,5,EETT
Finland,HELSINKI ACC,EFINCTA,13,EFIN
United Kingdom,PRESTWICK ACC,EGPXCTA,22,EGPX
United Kingdom,LONDON ACC CENTRAL,EGTTCTAC,5,EGTT
United Kingdom,LONDON ACC EAST,EGTTCTAE,5,EGTT
United Kingdom,LONDON ACC NORTH,EGTTCTAN,6,EGTT
United Kingdom,LONDON ACC SOUTH,EGTTCTAS,8,EGTT
United Kingdom,LONDON ACC WEST,EGTTCTAW,7,EGTT
United Kingdom,FREE ROUTE CTA,EGPXFCTA,1,EGPX
United Kingdom,ROUTE NETWORK CTA,EGPXRCTA,1,EGPX
Ireland,SHANNON ACC,EISNCTA,68,EISN
Denmark,KONBENHAVN ACC,EKDKCTA,14,EKDK
Norway,BODO ACC,ENBDCTA,8,ENBD
Norway,OSLO ATCC,ENOSECTA,8,ENOS
Norway,STAVANGER ATCC,ENOSWCTA,12,ENOS
Poland,WARSZAWA ACC,EPWWCTA,26,EPWW
Sweden,MALMOE,ESMMRCTA,4,ESMM
Sweden,MALMOE Y,ESMMYCTA,9,ESMM
Sweden,STOCKHOLM NORTH ACC,ESOSCTAN,6,ESOS
Sweden,STOCKHOLM SOUTH ACC,ESOSCTAS,5,ESOS
Latvia,RIGA ACC,EVRRCTA,4,EVRR
Lithuania,VILNIUS ACC,EYVCCTA,4,EYVC
Albania,TIRANA ACC,LAAACTA,1,LAAA
Bulgaria,SOFIA,LBSRCTAS,70,LBSR
Bulgaria,VARNA,LBSRCTAV,51,LBSR
Cyprus,NICOSIA ACC,LCCCCTA,15,LCCC
Croatia,ZAGREB ACC,LDZOCTA,21,LDZO
Spain Continental,BARCELONA ACC EAST,LECBCTAE,7,LECB
Spain Continental,BARCELONA ACC WEST,LECBCTAW,9,LECB
Spain Continental,MADRID ACC NORTH,LECMCTAN,10,LECM
Spain Continental,MADRID ACC SOUTH,LECMCTAS,9,LECM
Spain Continental,SEVILLA ACC,LECSCTA,14,LECS
France,BORDEAUX U/ACC LOWER + EAST,LFBBCTAE,12,LFBB
France,BORDEAUX U/ACC NORTH,LFBBCTAN,10,LFBB
France,BORDEAUX U/ACC SOUTH,LFBBCTAS,16,LFBB
France,REIMS ACC CENTRAL,LFEECTAC,4,LFEE
France,REIMS ACC EAST,LFEECTAE,10,LFEE
France,REIMS ACC NORD,LFEECTAN,10,LFEE
France,PARIS ACC EAST,LFFFCTAE,17,LFFF
France,PARIS ACC WEST,LFFFCTAW,12,LFFF
France,MARSEILLE ACC EAST,LFMMCTAE,26,LFMM
France,MARSEILLE ACC WEST,LFMMCTAW,20,LFMM
France,BREST EAST,LFRRCTAE,12,LFRR
France,BREST NORTH,LFRRCTAN,10,LFRR
France,BREST SOUTH,LFRRCTAS,9,LFRR
Greece,ATHINAI ACC,LGGGCTA,11,LGGG
Greece,MAKEDONIA ACC,LGMDCTA,9,LGMD
Hungary,BUDAPEST ACC,LHCCCTA,17,LHCC
Hungary,KFOR SECTOR,LHKRCTA,4,LHKR
Italy,BRINDISI ACC,LIBBCTA,28,LIBB
Italy,MILANO ACC EAST,LIMMCTAE,20,LIMM
Italy,MILANO ACC WEST,LIMMCTAW,23,LIMM
